title,artist,album,year
Rolling in the Deep,Adele,21,2010
Shake It Off,Taylor Swift,1989,2014
Blinding Lights,The Weeknd,After Hours,2019
Lose Yourself,Eminem,8 Mile,2002
Hey Ya!,Outkast,Speakerboxxx/The Love Below,2003
Bad Guy,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019
Shape of You,Ed Sheeran,÷ (Divide),2017
God's Plan,Drake,Scorpion,2018
Uptown Funk,Mark Ronson feat. Bruno Mars,Uptown Special,2014
All of Me,John Legend,Love in the Future,2013
Can't Stop the Feeling!,Justin Timberlake,Trolls: Original Motion Picture Soundtrack,2016
