title,artist,album,year
Bohemian Rhapsody,Queen,A Night at the Opera,1975
Imagine,John Lennon,Imagine,1971
Billie Jean,Michael Jackson,Thriller,1982
Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,1965
Smells Like Teen Spirit,Nirvana,Nevermind,1991
Hey Jude,The Beatles,Hey Jude,1968
Hotel California,Eagles,Hotel California,1976
Rolling in the Deep,Adele,21,2010
Shake It Off,Taylor Swift,1989,2014
Blinding Lights,The Weeknd,After Hours,2019
Hallelujah,Leonard Cohen,Various Positions,1984
Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,1987
Purple Rain,Prince,Purple Rain,1984
No Woman No Cry,Bob Marley and the Wailers,Live!,1975
One,U2,Achtung Baby,1991
Lose Yourself,Eminem,8 Mile,2002
Hey Ya!,Outkast,Speakerboxxx/The Love Below,2003
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,1967
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,1971
What's Going On,Marvin Gaye,What's Going On,1971
Take On Me,a-ha,Hunting High and Low,1985
Wonderwall,Oasis,(What's the Story) Morning Glory?,1995
Yesterday,The Beatles,Help!,1965
Bad Guy,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019
Smooth Operator,Sade,Diamond Life,1984
Shape of You,Ed Sheeran,÷ (Divide),2017
God's Plan,Drake,Scorpion,2018
Uptown Funk,Mark Ronson feat. Bruno Mars,Uptown Special,2014
All of Me,John Legend,Love in the Future,2013
Can't Stop the Feeling!,Justin Timberlake,Trolls: Original Motion Picture Soundtrack,2016
